freqs,channel,p1,chi2
58.5938,6,0.0697,1.1846
58.5938,7,4.957,83.082
58.5938,8,0.1346,7.8797
58.5938,9,0.0803,1.4905
58.5938,10,0.1348,1.4423
58.5938,11,5.1157,86.7703
58.5938,12,0.136,45.956
58.5938,13,0.1044,1.7119
58.5938,14,0.11,1.6549
58.5938,15,5.2314,94.6554
60.5469,0,0.1753,4.8827
60.5469,1,0.1208,1.645
60.5469,2,0.1617,1.806
60.5469,3,3.8549,67.4341
60.5469,4,0.1562,3.1834
60.5469,5,0.1297,1.132
60.5469,6,0.0794,1.0643
60.5469,7,4.6897,79.3975
60.5469,8,0.1414,13.7201
60.5469,9,0.092,1.0739
60.5469,10,0.1405,2.2464
60.5469,11,5.0715,101.4392
60.5469,12,0.15,97.6793
60.5469,13,0.1076,1.4069
60.5469,14,0.1117,1.4577
60.5469,15,5.1717,95.9428
62.5,0,0.1827,5.9093
62.5,1,0.1224,1.7779
62.5,2,0.1635,1.5824
62.5,3,4.0609,87.9622
62.5,4,0.1614,10.8682
62.5,5,0.1314,1.066
62.5,6,0.0816,2.6951
62.5,7,4.6502,76.9006
62.5,8,0.1512,30.6406
62.5,9,0.0959,1.3806
62.5,10,0.1439,2.7127
62.5,11,4.9145,92.5301
62.5,12,0.1661,188.2273
62.5,13,0.1105,1.8627
62.5,14,0.1124,1.8448
62.5,15,4.8141,82.216
64.4531,0,0.191,10.0262
64.4531,1,0.1264,1.8499
64.4531,2,0.1646,1.5318
64.4531,3,4.2755,99.0981
64.4531,4,0.1684,19.7668
64.4531,5,0.1305,1.0568
64.4531,6,0.0735,2.7084
64.4531,7,4.5706,80.7128
64.4531,8,0.16,44.8073
64.4531,9,0.0881,1.232
64.4531,10,0.1405,2.6482
64.4531,11,4.9047,80.4666
64.4531,12,0.1787,259.7404
64.4531,13,0.1094,1.4606
64.4531,14,0.1116,1.5037
64.4531,15,4.5698,77.1266
66.4062,0,0.195,10.1715
66.4062,1,0.1269,1.0505
66.4062,2,0.1623,1.268
66.4062,3,4.397,94.7682
66.4062,4,0.1746,19.0926
66.4062,5,0.1288,1.1609
66.4062,6,0.0677,1.1028
66.4062,7,4.9888,96.8534
66.4062,8,0.1656,55.0592
66.4062,9,0.0814,1.2416
66.4062,10,0.1362,1.7111
66.4062,11,4.9026,79.5642
66.4062,12,0.1873,306.2627
66.4062,13,0.1065,1.617
66.4062,14,0.1103,1.7289
66.4062,15,4.6861,84.1325
68.3594,0,0.1955,12.0549
68.3594,1,0.1231,1.5285
68.3594,2,0.1603,1.7256
68.3594,3,4.546,107.4601
68.3594,4,0.1759,22.4518
68.3594,5,0.1278,1.0837
68.3594,6,0.0739,1.0958
68.3594,7,5.2075,102.8693
68.3594,8,0.1682,54.7492
68.3594,9,0.0855,0.9944
68.3594,10,0.1371,1.2323
68.3594,11,4.8511,80.3271
68.3594,12,0.1878,280.9557
68.3594,13,0.1077,1.2096
68.3594,14,0.1097,1.3884
68.3594,15,4.8042,77.3263
70.3125,0,0.1995,8.1232
70.3125,1,0.1265,1.1127
70.3125,2,0.1626,1.2643
70.3125,3,4.6129,99.5353
70.3125,4,0.176,17.4932
70.3125,5,0.1282,1.0242
70.3125,6,0.085,2.3781
70.3125,7,5.187,94.8792
70.3125,8,0.1696,35.476
70.3125,9,0.0981,2.2942
70.3125,10,0.1421,1.12
70.3125,11,4.8977,83.1224
70.3125,12,0.182,180.7976
70.3125,13,0.1166,2.0437
70.3125,14,0.111,1.4144
70.3125,15,4.9296,79.6795
72.2656,0,0.2087,7.6929
72.2656,1,0.1435,4.3724
72.2656,2,0.1669,1.2084
72.2656,3,4.5511,81.7305
72.2656,4,0.183,11.509
72.2656,5,0.1306,1.1046
72.2656,6,0.092,4.9599
72.2656,7,5.1211,95.2781
72.2656,8,0.1726,19.5163
72.2656,9,0.1117,2.4407
72.2656,10,0.1461,1.1439
72.2656,11,4.8672,86.2749
72.2656,12,0.1724,77.1786
72.2656,13,0.1283,1.277
72.2656,14,0.1139,1.5465
72.2656,15,5.0901,95.3845
74.2188,0,0.2139,4.9394
74.2188,1,0.1601,15.8633
74.2188,2,0.1685,1.0416
74.2188,3,4.4784,69.543
74.2188,4,0.1903,4.475
74.2188,5,0.1351,1.0005
74.2188,6,0.0927,2.87
74.2188,7,5.0621,91.3915
74.2188,8,0.1733,9.2558
74.2188,9,0.1194,5.6944
74.2188,10,0.1463,1.627
74.2188,11,5.3257,104.7552
74.2188,12,0.165,32.0384
74.2188,13,0.1351,2.7017
74.2188,14,0.1171,1.0882
74.2188,15,5.2321,98.076
76.1719,0,0.2082,4.7738
76.1719,1,0.1601,7.9269
76.1719,2,0.167,1.0656
76.1719,3,4.447,62.6345
76.1719,4,0.1879,1.8967
76.1719,5,0.1382,1.1708
76.1719,6,0.0885,3.3091
76.1719,7,5.1086,105.8611
76.1719,8,0.1692,5.8448
76.1719,9,0.1177,13.9342
76.1719,10,0.1437,1.782
76.1719,11,5.6417,102.7641
76.1719,12,0.1603,22.2459
76.1719,13,0.1334,4.4243
76.1719,14,0.1188,1.0583
76.1719,15,5.3578,88.4237
78.125,0,0.1937,4.9508
78.125,1,0.143,1.2526
78.125,2,0.1629,1.4804
78.125,3,4.4946,67.2237
78.125,4,0.1751,3.2368
78.125,5,0.1362,1.0911
78.125,6,0.0811,1.7626
78.125,7,4.849,92.2505
78.125,8,0.1621,7.5324
